Year,Polarization Lower Bound (%),Polarization Upper Bound (%),Pruning Percentage (%),Number of Communities,Modularity
2006,0,100,0,9,0.01744540265209629
2006,0,100,2,9,0.017469929325740395
2006,0,100,4,11,0.017538202752088106
2006,0,100,6,4,0.018024184930037785
2006,0,100,8,4,0.018604332152586264
2006,0,100,10,6,0.01955991659364457
2006,0,100,12,6,0.023515469522561415
2006,0,100,14,8,0.027336702633692263
2006,0,100,16,3,0.040849627603884005
2006,0,100,18,6,0.05156503975178731
2006,0,100,20,3,0.06487535246258459
2006,0,100,22,6,0.08242928850815227
2006,0,100,24,7,0.10375880411068392
2006,0,100,26,9,0.12729845738025994
2006,0,100,28,11,0.17091168939832097
2006,0,100,30,13,0.19151822315934144
2006,0,100,32,19,0.22533912284451724
2006,0,100,34,23,0.2375998433664067
2006,0,100,36,27,0.24878339964987325
2006,0,100,38,37,0.2599385587967248
2006,0,100,40,45,0.2617878886295599
2006,0,100,42,52,0.26068423389189305
2006,0,100,44,69,0.2526195237897224
2006,0,100,46,80,0.24713259488345687
2006,0,100,48,99,0.23386531669802246
2006,0,100,50,116,0.22106480797651532
2006,0,100,52,118,0.22763737320487487
2006,0,100,54,153,0.23227862514733558
2006,0,100,56,164,0.239367632437546
2006,0,100,58,204,0.25518436745013795
2006,0,100,60,225,0.2674490774650352
2006,0,100,62,246,0.2835927862461424
2006,0,100,64,297,0.2989601362508216
2006,0,100,66,319,0.3113042788643927
2006,0,100,68,341,0.3267388414055054
2006,0,100,70,398,0.3909286618104709
2006,0,100,72,419,0.4427709289413429
2006,0,100,74,456,0.5543413890250087
2006,0,100,76,470,0.6095123608077155
2006,0,100,78,484,0.6744944933278956
2006,0,100,80,512,0.8295874999999969
2006,0,100,82,521,0.8850863201351092
2006,0,100,84,531,0.9353137860082333
2006,0,100,86,546,0.9738520408163268
2006,0,100,88,548,0.9704142011834318
2006,0,100,90,549,0.9375
2006,0,100,92,549,0.9090909090909095
2006,0,100,94,549,0.7999999999999998
2006,0,100,96,549,0.0
2006,0,100,98,549,0.0
2006,0,100,100,549,0.0
2006,10,90,0,6,0.01660830872422692
2006,10,90,2,4,0.01662021228255895
2006,10,90,4,4,0.01661922502949871
2006,10,90,6,3,0.016685154130127652
2006,10,90,8,4,0.016796081286449573
2006,10,90,10,3,0.01709107968081823
2006,10,90,12,4,0.01817720075997239
2006,10,90,14,4,0.019232187360935186
2006,10,90,16,3,0.017368917144383683
2006,10,90,18,3,0.023407605955753467
2006,10,90,20,3,0.026958536436752903
2006,10,90,22,3,0.03160638138346253
2006,10,90,24,3,0.04658623699490752
2006,10,90,26,3,0.05757226183052921
2006,10,90,28,3,0.07192812107419981
2006,10,90,30,4,0.09004883772222415
2006,10,90,32,6,0.11291290511984023
2006,10,90,34,2,0.17550652116358262
2006,10,90,36,3,0.21475377630453962
2006,10,90,38,3,0.2598759771539389
2006,10,90,40,3,0.2598759771539389
2006,10,90,42,6,0.2885096956970413
2006,10,90,44,10,0.31024785992929427
2006,10,90,46,15,0.33124243326771574
2006,10,90,48,18,0.33327701462194287
2006,10,90,50,27,0.3323178978186327
2006,10,90,52,38,0.3296270609294058
2006,10,90,54,51,0.3247540858353585
2006,10,90,56,76,0.3275177952442284
2006,10,90,58,94,0.33800243635045324
2006,10,90,60,109,0.3488605683872694
2006,10,90,62,133,0.3614933262879544
2006,10,90,64,163,0.3863677607342953
2006,10,90,66,188,0.4073661124675945
2006,10,90,68,249,0.4724427296310952
2006,10,90,70,283,0.5071343434697111
2006,10,90,72,310,0.5603750647544455
2006,10,90,74,362,0.6191820294526231
2006,10,90,76,393,0.6749094370258422
2006,10,90,78,457,0.8216414277988229
2006,10,90,80,494,0.8863500000000005
2006,10,90,82,511,0.9193579392541332
2006,10,90,84,529,0.9588019346191977
2006,10,90,86,537,0.9581530557057878
2006,10,90,88,543,0.9738580867566778
2006,10,90,90,547,0.941176470588235
2006,10,90,92,547,0.8999999999999998
2006,10,90,94,547,0.75
2006,10,90,96,547,0.0
2006,10,90,98,547,0.0
2006,10,90,100,547,0.0
2006,20,80,0,4,0.016267294680936285
2006,20,80,2,4,0.01627085977815679
2006,20,80,4,3,0.01627906822160006
2006,20,80,6,4,0.01640479960195295
2006,20,80,8,5,0.016549732647503545
2006,20,80,10,5,0.01690570761251182
2006,20,80,12,4,0.017622363156139163
2006,20,80,14,4,0.01886797391314354
2006,20,80,16,3,0.021253789083853225
2006,20,80,18,5,0.02431320856830382
2006,20,80,20,3,0.02973503660565078
2006,20,80,22,4,0.03676593365949677
2006,20,80,24,3,0.047324152204899585
2006,20,80,26,3,0.060762718590265434
2006,20,80,28,4,0.07763318311581585
2006,20,80,30,3,0.09900901773179477
2006,20,80,32,3,0.12616941365562248
2006,20,80,34,3,0.16101069127735368
2006,20,80,36,3,0.2032472862330959
2006,20,80,38,4,0.253577633432648
2006,20,80,40,3,0.3099786357904865
2006,20,80,42,3,0.3099786357904865
2006,20,80,44,8,0.3431993091293629
2006,20,80,46,15,0.3641786706650134
2006,20,80,48,17,0.3779455870303527
2006,20,80,50,23,0.3847544496995363
2006,20,80,52,35,0.3870931027220367
2006,20,80,54,47,0.3857091736832337
2006,20,80,56,61,0.38030114156742234
2006,20,80,58,80,0.3896398092791546
2006,20,80,60,96,0.3993357245991764
2006,20,80,62,115,0.4115259028631412
2006,20,80,64,143,0.42501033604981825
2006,20,80,66,178,0.4472569201407251
2006,20,80,68,209,0.47274733925284007
2006,20,80,70,250,0.5108925703341534
2006,20,80,72,291,0.5516383373275583
2006,20,80,74,333,0.6004111049059295
2006,20,80,76,376,0.6578109382240348
2006,20,80,78,419,0.7381321512795843
2006,20,80,80,465,0.811537052723141
2006,20,80,82,503,0.8868969855324994
2006,20,80,84,524,0.9320808561236632
2006,20,80,86,536,0.957709194214874
2006,20,80,88,543,0.9642372114078768
2006,20,80,90,547,0.9599999999999999
2006,20,80,92,547,0.9285714285714287
2006,20,80,94,547,0.7999999999999998
2006,20,80,96,547,0.0
2006,20,80,98,547,0.0
2006,20,80,100,547,0.0
2006,30,70,0,4,0.016797622364628305
2006,30,70,2,4,0.017779539440398093
2006,30,70,4,4,0.0177570492993699
2006,30,70,6,5,0.017759655210619323
2006,30,70,8,3,0.01842825858659848
2006,30,70,10,3,0.01842825858659848
2006,30,70,12,4,0.019963539669099268
2006,30,70,14,5,0.02249652502569044
2006,30,70,16,3,0.027021206253456193
2006,30,70,18,3,0.027021206253456193
2006,30,70,20,3,0.03515986015860027
2006,30,70,22,3,0.047375812994669475
2006,30,70,24,4,0.06553692721490599
2006,30,70,26,4,0.06553692721490599
2006,30,70,28,3,0.09073338590687158
2006,30,70,30,3,0.12303515605402388
2006,30,70,32,3,0.16471715561423061
2006,30,70,34,3,0.16471715561423061
2006,30,70,36,3,0.21711312595332147
2006,30,70,38,3,0.2814651998955354
2006,30,70,40,3,0.3615354029579583
2006,30,70,42,3,0.3615354029579583
2006,30,70,44,3,0.3615354029579583
2006,30,70,46,13,0.4034612709501056
2006,30,70,48,16,0.43045978495367143
2006,30,70,50,16,0.43045978495367143
2006,30,70,52,23,0.4487774138696804
2006,30,70,54,41,0.4610301759408532
2006,30,70,56,67,0.46759890488340994
2006,30,70,58,85,0.47738707531231356
2006,30,70,60,85,0.47738707531231356
2006,30,70,62,108,0.49060052208038535
2006,30,70,64,137,0.5088320009430648
2006,30,70,66,191,0.5303238516920998
2006,30,70,68,191,0.5303238516920998
2006,30,70,70,245,0.5558533666576069
2006,30,70,72,295,0.6100888867229917
2006,30,70,74,356,0.649150076552256
2006,30,70,76,356,0.649150076552256
2006,30,70,78,408,0.725031532961337
2006,30,70,80,470,0.826343790280864
2006,30,70,82,509,0.9013793872694794
2006,30,70,84,509,0.9013793872694794
2006,30,70,86,531,0.9491693339429967
2006,30,70,88,542,0.9586776859504125
2006,30,70,90,544,0.9230769230769229
2006,30,70,92,544,0.9230769230769229
2006,30,70,94,544,0.75
2006,30,70,96,544,0.5
2006,30,70,98,544,0.0
2006,30,70,100,544,0.0
2006,40,60,0,4,0.023174965472172196
2006,40,60,2,3,0.023763285652710776
2006,40,60,4,3,0.023763285652710776
2006,40,60,6,3,0.023266638062122563
2006,40,60,8,3,0.023266638062122563
2006,40,60,10,3,0.0247301725867647
2006,40,60,12,3,0.0247301725867647
2006,40,60,14,4,0.02674451492647582
2006,40,60,16,4,0.02674451492647582
2006,40,60,18,3,0.03115670010969005
2006,40,60,20,3,0.03115670010969005
2006,40,60,22,3,0.039441375506975386
2006,40,60,24,3,0.039441375506975386
2006,40,60,26,3,0.05285369798970704
2006,40,60,28,3,0.05285369798970704
2006,40,60,30,3,0.08072726528070025
2006,40,60,32,3,0.08072726528070025
2006,40,60,34,4,0.12393224506701635
2006,40,60,36,4,0.12393224506701635
2006,40,60,38,3,0.18525796862653027
2006,40,60,40,3,0.18525796862653027
2006,40,60,42,3,0.2746373475281015
2006,40,60,44,3,0.2746373475281015
2006,40,60,46,3,0.3964306913232597
2006,40,60,48,3,0.3964306913232597
2006,40,60,50,3,0.3964306913232597
2006,40,60,52,3,0.3964306913232597
2006,40,60,54,15,0.44664035044055383
2006,40,60,56,15,0.44664035044055383
2006,40,60,58,32,0.4747170420318605
2006,40,60,60,32,0.4747170420318605
2006,40,60,62,53,0.4884548076758663
2006,40,60,64,53,0.4884548076758663
2006,40,60,66,85,0.49878148857632837
2006,40,60,68,85,0.49878148857632837
2006,40,60,70,128,0.5144860954040935
2006,40,60,72,128,0.5144860954040935
2006,40,60,74,187,0.5308923360106869
2006,40,60,76,187,0.5308923360106869
2006,40,60,78,266,0.5525073036604237
2006,40,60,80,266,0.5525073036604237
2006,40,60,82,359,0.5945475467894084
2006,40,60,84,359,0.5945475467894084
2006,40,60,86,436,0.6678634517656037
2006,40,60,88,436,0.6678634517656037
2006,40,60,90,500,0.7133966096241622
2006,40,60,92,500,0.7133966096241622
2006,40,60,94,531,0.8533057851239668
2006,40,60,96,531,0.8533057851239668
2006,40,60,98,540,0.5
2006,40,60,100,540,0.5
2005,0,100,0,7,0.017001177766865508
2005,0,100,2,7,0.017004635293621388
2005,0,100,4,7,0.01701155048509117
2005,0,100,6,7,0.01702883926856285
2005,0,100,8,6,0.01704267282906652
2005,0,100,10,5,0.01718389815691318
2005,0,100,12,4,0.017165098578527983
2005,0,100,14,9,0.017474478670473963
2005,0,100,16,10,0.018217563462225823
2005,0,100,18,8,0.01892687637486628
2005,0,100,20,3,0.021480249798395648
2005,0,100,22,6,0.024340876347735428
2005,0,100,24,6,0.03531809099686452
2005,0,100,26,9,0.04550070238106421
2005,0,100,28,3,0.0608098215297875
2005,0,100,30,5,0.08156670569668069
2005,0,100,32,8,0.1010244545856125
2005,0,100,34,11,0.13523721618421458
2005,0,100,36,16,0.14858113776094586
2005,0,100,38,16,0.15731368636148316
2005,0,100,40,20,0.16633674365257697
2005,0,100,42,26,0.16476822611980171
2005,0,100,44,37,0.1540245959211328
2005,0,100,46,40,0.14724196000928091
2005,0,100,48,64,0.12969079623984614
2005,0,100,50,72,0.1247011544429124
2005,0,100,52,86,0.12046062899291413
2005,0,100,54,109,0.11199576333519352
2005,0,100,56,127,0.11055543167853316
2005,0,100,58,171,0.10683823420582442
2005,0,100,60,190,0.10075545123893515
2005,0,100,62,238,0.11077543566732818
2005,0,100,64,264,0.11658203396020483
2005,0,100,66,282,0.13049087341916457
2005,0,100,68,327,0.15565191036449405
2005,0,100,70,343,0.1671764932689839
2005,0,100,72,382,0.19630590772555978
2005,0,100,74,401,0.21040360341949207
2005,0,100,76,410,0.230351119139652
2005,0,100,78,444,0.27040817544549334
2005,0,100,80,462,0.3114330264416921
2005,0,100,82,480,0.4403183511420437
2005,0,100,84,496,0.5252158082561718
2005,0,100,86,516,0.6962622438555375
2005,0,100,88,526,0.741522903033909
2005,0,100,90,534,0.9003906250000002
2005,0,100,92,541,0.956521739130434
2005,0,100,94,541,0.9333333333333332
2005,0,100,96,541,0.75
2005,0,100,98,541,0.5
2005,0,100,100,541,0.5
2005,10,90,0,3,0.016885256370574725
2005,10,90,2,3,0.016870584396032055
2005,10,90,4,3,0.016860962140318278
2005,10,90,6,3,0.016914353521316483
2005,10,90,8,3,0.016793564561261784
2005,10,90,10,3,0.016788156796909683
2005,10,90,12,4,0.01689103826227928
2005,10,90,14,4,0.017070698791532824
2005,10,90,16,3,0.01745585231870081
2005,10,90,18,4,0.018219604148959134
2005,10,90,20,4,0.019719954103125326
2005,10,90,22,4,0.022822603579981556
2005,10,90,24,3,0.02789186569550011
2005,10,90,26,5,0.03606529335561568
2005,10,90,28,4,0.04741016163052895
2005,10,90,30,4,0.06262565302141854
2005,10,90,32,6,0.08305764145565482
2005,10,90,34,3,0.10623571951916642
2005,10,90,36,5,0.13284530787305596
2005,10,90,38,4,0.16054248353430883
2005,10,90,40,4,0.16054248353430883
2005,10,90,42,7,0.1772825273610605
2005,10,90,44,11,0.18906986392665742
2005,10,90,46,13,0.1983891486155309
2005,10,90,48,16,0.20841363706897537
2005,10,90,50,28,0.21490620404442287
2005,10,90,52,37,0.2176542733714983
2005,10,90,54,48,0.21681975869157177
2005,10,90,56,67,0.22138766646205751
2005,10,90,58,85,0.2304124632476666
2005,10,90,60,108,0.23936939576822
2005,10,90,62,137,0.25115516211416433
2005,10,90,64,162,0.256992515416825
2005,10,90,66,195,0.28053846480803024
2005,10,90,68,239,0.28918617161603144
2005,10,90,70,289,0.31190593158609
2005,10,90,72,342,0.3526236762448134
2005,10,90,74,390,0.41270052029136384
2005,10,90,76,426,0.4496060000000032
2005,10,90,78,462,0.5198033922741636
2005,10,90,80,484,0.6073823573805588
2005,10,90,82,505,0.6930371900826411
2005,10,90,84,520,0.7855112697468458
2005,10,90,86,531,0.9380165289256204
2005,10,90,88,537,0.9533333333333338
2005,10,90,90,539,0.941176470588235
2005,10,90,92,539,0.8888888888888888
2005,10,90,94,539,0.8571428571428568
2005,10,90,96,539,0.75
2005,10,90,98,539,0.5
2005,10,90,100,539,0.0
2005,20,80,0,4,0.016349498839497344
2005,20,80,2,4,0.01573023966280148
2005,20,80,4,5,0.016312412598626678
2005,20,80,6,5,0.01635099519099287
2005,20,80,8,4,0.016456807543857737
2005,20,80,10,4,0.016456807543857737
2005,20,80,12,3,0.016821130846040803
2005,20,80,14,4,0.017974734309550947
2005,20,80,16,4,0.0203676392036251
2005,20,80,18,3,0.024238680677987134
2005,20,80,20,3,0.024238680677987134
2005,20,80,22,3,0.033234672557378164
2005,20,80,24,4,0.04429562891969077
2005,20,80,26,3,0.062243718131520034
2005,20,80,28,3,0.062243718131520034
2005,20,80,30,3,0.08354085534398993
2005,20,80,32,3,0.10861505107547086
2005,20,80,34,4,0.13568817239678135
2005,20,80,36,3,0.16412009195671123
2005,20,80,38,3,0.16412009195671123
2005,20,80,40,3,0.18800311693118726
2005,20,80,42,3,0.18800311693118726
2005,20,80,44,7,0.19747876717612553
2005,20,80,46,7,0.19747876717612553
2005,20,80,48,15,0.21484805307733618
2005,20,80,50,20,0.23132197962954507
2005,20,80,52,35,0.24002320022909934
2005,20,80,54,47,0.24562440354671286
2005,20,80,56,47,0.24562440354671286
2005,20,80,58,67,0.2505673271186253
2005,20,80,60,103,0.2653814135880874
2005,20,80,62,140,0.27999415077998596
2005,20,80,64,140,0.27999415077998596
2005,20,80,66,174,0.31017236684896654
2005,20,80,68,226,0.34344581889128223
2005,20,80,70,294,0.37104624741443176
2005,20,80,72,358,0.41998975463305044
2005,20,80,74,358,0.41998975463305044
2005,20,80,76,413,0.46628615725318195
2005,20,80,78,462,0.5558980536659092
2005,20,80,80,503,0.7070536477554715
2005,20,80,82,503,0.7070536477554715
2005,20,80,84,524,0.8788534342888054
2005,20,80,86,535,0.9394463667820075
2005,20,80,88,538,0.9333333333333332
2005,20,80,90,538,0.8888888888888888
2005,20,80,92,538,0.8888888888888888
2005,20,80,94,538,0.7999999999999998
2005,20,80,96,538,0.5
2005,20,80,98,538,0.0
2005,20,80,100,538,0.0
2005,30,70,0,3,0.043946255851678245
2005,30,70,2,3,0.043950665215935436
2005,30,70,4,3,0.043950665215935436
2005,30,70,6,3,0.043950665215935436
2005,30,70,8,4,0.04039639683230478
2005,30,70,10,4,0.04039639683230478
2005,30,70,12,4,0.04039639683230478
2005,30,70,14,3,0.04858846233690438
2005,30,70,16,3,0.04858846233690438
2005,30,70,18,3,0.04858846233690438
2005,30,70,20,3,0.04858846233690438
2005,30,70,22,3,0.05845994813229839
2005,30,70,24,3,0.05845994813229839
2005,30,70,26,3,0.05845994813229839
2005,30,70,28,3,0.08564805359633995
2005,30,70,30,3,0.08564805359633995
2005,30,70,32,3,0.08564805359633995
2005,30,70,34,4,0.178276392769878
2005,30,70,36,4,0.178276392769878
2005,30,70,38,4,0.178276392769878
2005,30,70,40,4,0.178276392769878
2005,30,70,42,2,0.3505235141132458
2005,30,70,44,2,0.3505235141132458
2005,30,70,46,2,0.3505235141132458
2005,30,70,48,2,0.3505235141132458
2005,30,70,50,2,0.3505235141132458
2005,30,70,52,2,0.3505235141132458
2005,30,70,54,38,0.4067509874634351
2005,30,70,56,38,0.4067509874634351
2005,30,70,58,38,0.4067509874634351
2005,30,70,60,38,0.4067509874634351
2005,30,70,62,106,0.4694064533745461
2005,30,70,64,106,0.4694064533745461
2005,30,70,66,106,0.4694064533745461
2005,30,70,68,229,0.5459500627906488
2005,30,70,70,229,0.5459500627906488
2005,30,70,72,229,0.5459500627906488
2005,30,70,74,409,0.6146043267066593
2005,30,70,76,409,0.6146043267066593
2005,30,70,78,409,0.6146043267066593
2005,30,70,80,409,0.6146043267066593
2005,30,70,82,516,0.9406971480307835
2005,30,70,84,516,0.9406971480307835
2005,30,70,86,516,0.9406971480307835
2005,30,70,88,524,0.9141274238227146
2005,30,70,90,524,0.9141274238227146
2005,30,70,92,524,0.9141274238227146
2005,30,70,94,525,0.6666666666666665
2005,30,70,96,525,0.6666666666666665
2005,30,70,98,525,0.6666666666666665
2005,30,70,100,525,0.6666666666666665
2005,40,60,0,3,0.05695379088313463
2005,40,60,2,3,0.056918031193015806
2005,40,60,4,3,0.056918031193015806
2005,40,60,6,3,0.056918031193015806
2005,40,60,8,3,0.056918031193015806
2005,40,60,10,3,0.056918031193015806
2005,40,60,12,3,0.056918031193015806
2005,40,60,14,3,0.056918031193015806
2005,40,60,16,3,0.18129882057952962
2005,40,60,18,3,0.18129882057952962
2005,40,60,20,3,0.18129882057952962
2005,40,60,22,3,0.18129882057952962
2005,40,60,24,3,0.18129882057952962
2005,40,60,26,3,0.18129882057952962
2005,40,60,28,3,0.18129882057952962
2005,40,60,30,4,0.4600004786894109
2005,40,60,32,4,0.4600004786894109
2005,40,60,34,4,0.4600004786894109
2005,40,60,36,4,0.4600004786894109
2005,40,60,38,4,0.4600004786894109
2005,40,60,40,4,0.4600004786894109
2005,40,60,42,4,0.4600004786894109
2005,40,60,44,4,0.4600004786894109
2005,40,60,46,4,0.4600004786894109
2005,40,60,48,4,0.4600004786894109
