year,2003,2003,2003,2004,2004,2005,2005,2006,2006,2006,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2019,2019,2019,2020,2020,2021,2021,2022,2022,2022,2023,2023,2023
community,0,1,2,0,1,0,1,0,1,2,0,1,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,0,1,2,0,1,2,0,1,0,1,2,0,1,0,1,0,1,2,0,1,2
sigla_partido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT,9,7,4,1,60,88,2,81,4,0,2,83,79,2,1,1,82,0,66,9,14,0,90,1,90,3,0,97,0,0,7,2,88,64,4,65,3,0,0,65,0,0,68,0,59,1,0,60,0,58,0,60,0,69,0,0
PMDB,2,3,2,43,9,46,36,52,36,0,12,72,51,28,0,75,6,8,55,18,19,44,7,28,48,24,6,5,3,72,16,50,13,54,22,39,19,25,67,9,0,62,14,15,16,6,30,9,25,16,33,5,1,12,10,0
PSDB,6,1,2,33,3,6,54,4,60,0,58,5,6,55,0,6,10,47,6,54,1,51,5,2,7,53,0,3,52,6,43,8,6,5,55,3,51,8,48,8,0,51,6,27,3,6,11,27,22,21,28,12,0,7,12,1
PP,2,0,1,17,17,32,17,24,23,1,33,2,9,26,0,30,0,4,30,5,0,18,13,6,30,9,0,8,4,26,13,19,7,23,13,20,10,6,31,7,0,31,7,12,8,6,27,0,26,0,28,1,0,10,28,1
PSB,1,2,2,6,14,22,5,21,6,0,22,5,14,11,0,5,16,6,5,12,12,3,20,7,20,13,0,7,7,12,23,3,0,6,32,8,30,2,8,30,0,13,27,5,28,3,4,31,6,30,12,26,0,18,5,1
PFL,5,10,9,44,3,10,56,12,61,0,14,29,8,35,0,9,5,29,11,30,3,17,2,1,3,16,1,3,15,3,15,5,4,9,8,2,12,5,14,1,1,17,1,6,1,0,6,2,6,1,7,2,0,4,1,0
PDT,0,1,1,9,2,6,13,1,20,0,22,5,14,10,0,6,14,5,10,5,9,6,13,7,14,13,1,21,5,1,19,5,5,5,23,14,7,5,4,23,0,7,21,1,24,4,7,22,9,21,6,23,0,23,4,0
PL,2,2,0,8,11,29,9,29,6,0,14,0,8,6,0,12,1,1,13,1,1,5,4,0,7,5,0,4,3,3,0,5,4,4,0,4,0,0,3,1,0,3,1,16,9,7,34,1,32,0,31,3,0,4,57,0
PTB,3,1,2,3,20,26,7,30,4,1,15,2,5,12,0,18,1,1,10,9,4,5,3,10,6,12,1,3,8,5,3,14,2,15,7,7,3,12,16,4,0,17,3,6,7,1,14,0,13,0,10,3,0,5,4,0
DEM,0,0,0,0,0,0,0,0,0,0,2,21,3,21,0,3,0,22,2,24,0,22,0,0,1,20,0,0,24,1,24,2,0,4,17,2,19,0,20,1,0,22,2,17,2,3,9,13,18,4,16,7,0,7,9,0
PR,0,0,0,0,0,0,0,0,0,0,15,0,8,7,0,16,2,1,12,3,1,12,7,2,1,18,0,12,9,0,3,16,2,21,7,7,6,15,15,11,0,17,12,5,10,0,13,3,15,3,14,4,0,4,8,0
PSD,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,2,11,1,1,14,1,12,3,2,15,7,7,6,10,16,6,0,18,4,18,5,3,24,4,22,6,24,8,0,18,13,0
PPS,1,2,0,7,4,3,13,2,15,0,5,13,7,10,0,6,1,11,4,13,1,12,3,1,1,15,0,0,11,4,12,3,0,3,11,1,12,1,3,10,0,7,7,2,4,0,1,5,1,5,6,1,0,3,2,0
PCdoB,1,0,1,1,4,10,0,11,1,0,0,13,13,0,0,0,12,0,4,0,8,1,2,11,13,0,0,13,0,0,1,0,12,11,1,12,1,0,0,12,0,0,12,0,7,0,0,8,0,7,0,8,0,8,0,0
PV,0,1,0,4,2,0,8,1,7,0,14,1,11,4,0,0,11,4,3,3,9,0,11,0,3,7,0,5,5,0,5,1,3,5,5,4,4,1,3,5,0,6,4,2,5,0,4,3,4,3,4,2,1,5,1,0
PSC,0,0,2,0,2,3,2,3,0,0,4,3,7,1,0,3,2,3,3,0,4,3,0,7,0,14,0,2,4,7,10,3,1,2,6,1,7,1,6,5,0,7,2,8,1,0,8,1,11,0,9,4,0,2,6,0
PSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,2,1,0,2,0,33,1,0,34,0,32,1,27,6,0,2,15,0
PRB,0,0,0,0,0,0,0,0,0,0,4,1,5,1,0,2,0,2,1,0,3,3,2,2,2,5,0,5,2,0,1,5,1,12,2,1,2,13,8,8,0,10,6,9,1,1,8,3,11,0,5,8,0,2,3,0
PPB,2,0,0,6,4,7,3,8,3,0,9,0,4,4,0,4,1,2,5,2,1,5,1,0,4,2,1,0,3,4,3,3,0,3,4,3,1,3,3,2,0,4,2,1,0,0,1,0,1,0,1,0,0,0,1,0
MDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,8,4,2,10,4,7,7,12,2,0,23,8,0
REPUBLICANOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,14,1,15,0,3,10,0,3,25,1
UNIÃO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,3,6,3,8,3,0,18,15,0
